             CooksD  CooksD_flag  StdResid  StdResid_flag  StudResid  StudResid_flag    DFFITS  DFFITS_flag  COVRATIO  COVRATIO_flag  DFBETAS_flag
109.0  9.409596e-04        False -0.758235          False  -0.757799           False -0.140490        False  1.059614          False         False
110.0  1.874385e-03        False -0.862618          False  -0.862320           False -0.198330        False  1.068296          False         False
111.0  5.711163e-02        False -2.688289           True  -2.711200            True -1.104479         True  0.816372           True          True
112.0  5.018908e-03        False -1.810217          False  -1.815813           False -0.325653        False  0.906676          False          True
113.0  3.779367e-04        False -0.421914          False  -0.421446           False -0.088989        False  1.094417          False         False
114.0  4.231878e-04        False  0.465133          False   0.464641           False  0.094171        False  1.088375          False         False
115.0  3.850738e-05        False  0.260055          False   0.259728           False  0.028401        False  1.066880          False         False
116.0  7.303142e-03        False  1.485564          False   1.487993           False  0.392260        False  0.998575          False          True
117.0  5.849587e-03        False -0.933288          False  -0.933125           False -0.350426        False  1.149412          False          True
118.0  2.830059e-03        False -0.780713          False  -0.780301           False -0.243657        False  1.122089          False          True
119.0  3.497051e-03        False -1.117669          False  -1.118046           False -0.271086        False  1.043915          False          True
120.0  1.215674e-03        False -0.533345          False  -0.532830           False -0.159624        False  1.134870          False         False
121.0  1.510974e-03        False -1.097621          False  -1.097925           False -0.178180        False  1.014475          False         False
122.0  5.387101e-03        False  1.280773          False   1.281883           False  0.336638        False  1.030778          False          True
123.0  3.547293e-03        False -0.570373          False  -0.569854           False -0.272686        False  1.276909           True          True
124.0  1.156507e-02        False -2.858950           True  -2.887074            True -0.497663         True  0.682585           True          True
125.0  1.837629e-05        False  0.181464          False   0.181228           False  0.019619        False  1.068726          False         False
126.0           NaN        False       NaN          False        NaN           False       NaN        False  1.051526          False         False
127.0  2.472799e-04        False -0.603230          False  -0.602712           False -0.072000        False  0.901841          False          True
128.0  2.105325e-03        False -1.751213          False  -1.756124           False -0.210856        False  1.116096          False         False
129.0  2.853722e-04        False  0.314670          False   0.314288           False  0.077319        False  1.057546          False         False
130.0  3.173903e-04        False  0.589863          False   0.589344           False  0.081569        False  1.236133           True         False
131.0  1.364555e-04        False  0.130162          False   0.129989           False  0.053460        False  1.069658          False         False
132.0  1.573299e-04        False  0.404982          False   0.404526           False  0.057415        False  1.067562          False         False
133.0  3.090152e-04        False -0.518036          False  -0.517525           False -0.080477        False  1.063681          False         False
134.0  1.989010e-04        False -0.478954          False  -0.478456           False -0.064562        False  1.073049          False         False
135.0  2.586703e-05        False  0.184927          False   0.184686           False  0.023276        False  1.045801          False         False
136.0  5.154550e-04        False  0.743325          False   0.742876           False  0.103978        False  1.083798          False         False
137.0  1.469333e-05        False  0.111548          False   0.111399           False  0.017542        False  1.084567          False         False
138.0  3.352475e-05        False  0.163443          False   0.163229           False  0.026499        False  1.068826          False          True
139.0  1.183484e-03        False  0.757581          False   0.757145           False  0.157558        False  1.081639          False         False
140.0  3.448287e-05        False  0.174435          False   0.174207           False  0.026875        False  1.051881          False         False
141.0  9.313667e-04        False  0.799669          False   0.799279           False  0.139784        False  1.045119          False          True
142.0  5.021608e-03        False -1.206232          False  -1.206974           False -0.324936        False  1.118038          False         False
143.0  1.920384e-05        False -0.084221          False  -0.084109           False -0.020055        False  1.156476          False          True
144.0  5.176125e-03        False -0.876774          False  -0.876500           False -0.329592        False  1.110126          False         False
145.0  1.604367e-03        False  0.667032          False   0.666532           False  0.183415        False  1.084512          False         False
146.0  2.271622e-04        False  0.379418          False   0.378980           False  0.068988        False  0.986318          False          True
147.0  3.141024e-03        False -1.362639          False  -1.364219           False -0.257128        False  1.172901           True         False
148.0  4.410885e-05        False -0.092268          False  -0.092144           False -0.030394        False  1.111124          False         False
149.0  1.113316e-07        False  0.006845          False   0.006836           False  0.001527        False  1.076639          False         False
150.0  3.802222e-04        False  0.500662          False   0.500156           False  0.089267        False  1.117780          False         False
151.0  8.855697e-04        False  0.508958          False   0.508449           False  0.136234        False  1.061504          False         False
152.0  5.184196e-05        False -0.338109          False  -0.337705           False -0.032956        False  1.060005          False         False
153.0  7.171102e-05        False -0.386288          False  -0.385845           False -0.038762        False  0.979021          False          True
154.0  6.212445e-03        False -1.526680           True  -1.529433            True -0.361846         True  0.841138          False          True
155.0  1.158070e-02        False -2.209928          False  -2.221618           False -0.495756        False  0.996876          False          True
156.0  2.205894e-03        False  1.252097          False   1.253059           False  0.215395        False  1.061267          False         False
157.0  1.800749e-04        False  0.483725          False   0.483225           False  0.061431        False  0.992789          False          True
158.0  1.833137e-03        False  1.247930          False   1.248871           False  0.196352        False  1.084473          False         False
159.0  5.710826e-05        False  0.209713          False   0.209443           False  0.034586        False  1.075106          False         False
160.0  1.088196e-03        False  0.710209          False   0.709734           False  0.151068        False  1.080107          False         False
161.0  9.990932e-05        False -0.287537          False  -0.287181           False -0.045748        False  1.029445          False         False
162.0  1.042080e-03        False -0.952995          False  -0.952877           False -0.147913        False  1.070887          False         False
163.0  3.308081e-04        False  0.508899          False   0.508390           False  0.083265        False  1.063167          False         False
164.0  9.575327e-06        False  0.177574          False   0.177342           False  0.014162        False  1.082925          False         False
165.0  5.900474e-04        False  0.550147           True   0.549630            True  0.111210         True  0.605139           True          True
166.0  1.823706e-02        False -3.220004          False  -3.261560           False -0.626839        False  1.092166          False         False
167.0  1.307895e-04        False  0.274688          False   0.274346           False  0.052342        False  1.068329          False         False
168.0  1.075298e-04        False -0.363873          False  -0.363448           False -0.047464        False  1.062774          False         False
169.0  9.232411e-05        False -0.388650          False  -0.388205           False -0.043981        False  1.075431          False         False
170.0  5.652198e-05        False -0.245765          False  -0.245454           False -0.034409        False  1.208443           True         False
171.0  1.247032e-03        False  0.413752          False   0.413289           False  0.161645        False  1.001361          False          True
172.0  3.590196e-03        False -1.314468          False  -1.315763           False -0.274850        False  1.145676          False         False
173.0  1.940703e-04        False -0.218363          False  -0.218083           False -0.063757        False  0.957355          False          True
174.0  2.611157e-03        False -1.483147          False  -1.485557           False -0.234548        False  1.112716          False         False
175.0  1.847444e-04        False -0.264237          False  -0.263905           False -0.062209        False  1.066395          False         False
176.0  6.049561e-05        False -0.310748          False  -0.310370           False -0.035599        False  1.096323          False         False
177.0  1.483617e-04        False -0.277568          False  -0.277222           False -0.055748        False  1.139278          False         False
178.0  7.020339e-05        False -0.137784          False  -0.137602           False -0.038345        False  1.158710          False         False
179.0  2.867693e-05        False -0.079513          False  -0.079406           False -0.024507        False  1.066187          False          True
180.0  6.488884e-03        False  1.204786          False   1.205522           False  0.369368        False  1.159172          False         False
181.0  5.583012e-04        False -0.338341          False  -0.337936           False -0.108150        False  1.071684          False         False
182.0  2.418847e-04        False  0.454788          False   0.454301           False  0.071195        False  1.046857          False          True
183.0  5.523384e-03        False -1.225890          False  -1.226724           False -0.340806        False  1.075133          False         False
184.0  4.076637e-05        False -0.214846          False  -0.214569           False -0.029221        False  1.080049          False         False
185.0  1.608979e-06        False -0.040471          False  -0.040417           False -0.005805        False  1.072664          False         False
186.0  2.417173e-04        False -0.448922          False  -0.448438           False -0.071170        False  1.031201          False         False
187.0  1.113719e-03        False  0.952447          False   0.952328           False  0.152912        False  1.071980          False         False
188.0  5.451081e-05        False  0.260878          False   0.260550           False  0.033791        False  1.065410          False         False
189.0  3.255237e-04        False -0.539867          False  -0.539351           False -0.082601        False  1.055142          False         False
190.0  1.622194e-04        False -0.522005          False  -0.521492           False -0.058309        False  1.044213          False         False
191.0  1.179557e-04        False  0.598746          False   0.598228           False  0.049727        False  1.041656          False         False
192.0  2.742930e-04        False  0.698233          False   0.697750           False  0.075843        False  0.990697          False         False
193.0  9.378042e-04        False  1.187018          False   1.187674           False  0.140413        False  1.034649          False         False
194.0  5.143926e-04        False  0.823505          False   0.823147           False  0.103889        False  1.040972          False          True
